               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085298,             0.03271,                   0,             0.18934,             0.58667,             0.19704,            0.062787,             0.03805,            0.016956,                   0,            0.070577,           0.0032692,           0.0032692
                   1,            0.057447,            0.024077,                   0,             0.14951,             0.82667,              0.1577,            0.076921,            0.034008,           0.0078928,                   0,            0.040432,           0.0064573,           0.0064573
                   2,            0.052189,            0.019852,                   0,             0.15162,                0.84,             0.16451,             0.06595,            0.035252,           0.0070441,                   0,             0.01014,           0.0094987,           0.0094987
                   3,            0.045499,            0.018196,                   0,             0.17408,             0.74667,             0.19437,             0.11285,            0.028237,           0.0086714,                   0,             0.00934,             0.00934,             0.00934
                   4,            0.039858,            0.017311,                   0,             0.17208,             0.83972,             0.18385,             0.10547,            0.021545,           0.0084582,                   0,             0.00934,             0.00934,             0.00934
                   5,            0.035585,             0.01621,                   0,             0.20632,                0.96,             0.23484,              0.1303,            0.022509,           0.0076437,                   0,             0.00912,             0.00912,             0.00912
                   6,            0.032246,            0.015422,                   0,             0.20245,                   1,             0.21524,              0.1351,            0.019706,           0.0079922,                   0,              0.0089,              0.0089,              0.0089
                   7,            0.029352,            0.014853,                   0,             0.21007,                   1,             0.22797,             0.16542,            0.016325,            0.008395,                   0,             0.00868,             0.00868,             0.00868
                   8,            0.027879,            0.014178,                   0,             0.21196,                   1,             0.22232,             0.15684,            0.016647,           0.0081868,                   0,             0.00846,             0.00846,             0.00846
                   9,            0.028154,            0.014484,                   0,             0.21051,             0.98667,             0.22194,             0.15832,            0.015803,           0.0078777,                   0,             0.00824,             0.00824,             0.00824
                  10,             0.02576,            0.014242,                   0,             0.21002,                   1,             0.23481,             0.17386,            0.015244,           0.0085036,                   0,             0.00802,             0.00802,             0.00802
                  11,            0.025272,            0.014323,                   0,             0.21005,                   1,             0.24285,             0.17298,            0.015564,           0.0083023,                   0,              0.0078,              0.0078,              0.0078
                  12,            0.025346,            0.014046,                   0,             0.21028,                   1,             0.22548,             0.16736,            0.014002,            0.007885,                   0,             0.00758,             0.00758,             0.00758
                  13,             0.02401,            0.013291,                   0,             0.21007,                   1,             0.21081,             0.15209,            0.015147,           0.0081099,                   0,             0.00736,             0.00736,             0.00736
                  14,            0.023218,            0.013503,                   0,             0.21074,                   1,              0.2411,             0.18445,            0.013821,           0.0085369,                   0,             0.00714,             0.00714,             0.00714
                  15,            0.021776,            0.014028,                   0,             0.20992,             0.97775,             0.24945,             0.20091,            0.012361,           0.0085172,                   0,             0.00692,             0.00692,             0.00692
                  16,             0.02087,             0.01395,                   0,             0.21829,             0.90667,             0.27821,             0.21031,             0.01317,           0.0088644,                   0,              0.0067,              0.0067,              0.0067
                  17,            0.021032,            0.013333,                   0,              0.2101,             0.98667,             0.24574,             0.19665,            0.012101,           0.0090427,                   0,             0.00648,             0.00648,             0.00648
                  18,             0.01993,            0.012615,                   0,             0.21008,                   1,             0.23766,             0.19919,            0.010136,           0.0087631,                   0,             0.00626,             0.00626,             0.00626
                  19,            0.019834,            0.013504,                   0,              0.2106,                   1,             0.23869,              0.1877,            0.012418,           0.0083789,                   0,             0.00604,             0.00604,             0.00604
                  20,            0.019792,            0.012836,                   0,              0.2143,                   1,             0.23371,             0.19183,            0.011025,           0.0089967,                   0,             0.00582,             0.00582,             0.00582
                  21,            0.019086,            0.012552,                   0,              0.2105,                   1,             0.24157,             0.20471,            0.010605,           0.0088347,                   0,              0.0056,              0.0056,              0.0056
                  22,            0.018994,            0.013236,                   0,             0.21003,                   1,             0.22853,             0.19314,            0.010231,           0.0087253,                   0,             0.00538,             0.00538,             0.00538
                  23,             0.01852,            0.013035,                   0,             0.20984,             0.98667,             0.21419,             0.17749,            0.011042,           0.0089801,                   0,             0.00516,             0.00516,             0.00516
                  24,            0.017744,            0.012117,                   0,             0.21003,                   1,             0.23161,             0.19133,             0.01106,           0.0093545,                   0,             0.00494,             0.00494,             0.00494
                  25,            0.017622,            0.013082,                   0,             0.21098,                   1,             0.22538,             0.18986,            0.010173,            0.009368,                   0,             0.00472,             0.00472,             0.00472
                  26,            0.017147,            0.012877,                   0,             0.21001,                   1,             0.22646,             0.18531,            0.010393,           0.0085577,                   0,              0.0045,              0.0045,              0.0045
                  27,            0.016762,            0.012484,                   0,             0.21116,             0.98667,             0.21611,             0.18562,           0.0097376,           0.0088452,                   0,             0.00428,             0.00428,             0.00428
                  28,            0.016321,            0.012319,                   0,             0.21021,             0.98667,             0.21586,             0.18334,           0.0097078,           0.0097956,                   0,             0.00406,             0.00406,             0.00406
                  29,            0.016576,            0.012558,                   0,             0.21201,             0.98667,             0.22447,             0.19075,           0.0097487,           0.0096924,                   0,             0.00384,             0.00384,             0.00384
                  30,            0.016081,            0.012115,                   0,             0.21021,                   1,             0.22109,             0.19161,            0.009776,           0.0093844,                   0,             0.00362,             0.00362,             0.00362
                  31,            0.015765,            0.012365,                   0,             0.21001,                   1,             0.22033,             0.19259,           0.0094596,           0.0093035,                   0,              0.0034,              0.0034,              0.0034
                  32,            0.015979,            0.012701,                   0,             0.21265,             0.98667,             0.22303,             0.19247,           0.0096519,           0.0097416,                   0,             0.00318,             0.00318,             0.00318
                  33,            0.015654,            0.012281,                   0,             0.21207,             0.98667,             0.22191,             0.19244,           0.0096879,           0.0097337,                   0,             0.00296,             0.00296,             0.00296
                  34,            0.015341,            0.012072,                   0,             0.21001,                   1,             0.22004,             0.18923,           0.0096799,           0.0089203,                   0,             0.00274,             0.00274,             0.00274
                  35,            0.015021,            0.012159,                   0,             0.21006,                   1,             0.22841,             0.19787,           0.0093377,           0.0094655,                   0,             0.00252,             0.00252,             0.00252
                  36,            0.015351,            0.012406,                   0,             0.21002,                   1,             0.21895,              0.1894,            0.009401,           0.0096315,                   0,              0.0023,              0.0023,              0.0023
                  37,            0.015003,            0.012023,                   0,             0.20997,                   1,             0.22125,             0.19595,           0.0095546,           0.0094442,                   0,             0.00208,             0.00208,             0.00208
                  38,            0.015106,            0.011937,                   0,             0.21006,                   1,             0.22483,             0.19953,           0.0094318,           0.0097173,                   0,             0.00186,             0.00186,             0.00186
                  39,            0.015196,            0.012351,                   0,             0.21001,                   1,             0.22047,             0.19235,           0.0093015,           0.0097054,                   0,             0.00164,             0.00164,             0.00164
                  40,            0.014528,            0.011773,                   0,             0.21239,             0.97333,             0.23028,             0.20271,           0.0094683,           0.0091644,                   0,             0.00142,             0.00142,             0.00142
                  41,             0.01501,            0.012487,                   0,             0.20946,             0.97333,             0.21914,              0.1918,           0.0092455,           0.0094477,                   0,              0.0012,              0.0012,              0.0012
                  42,            0.014611,            0.012006,                   0,             0.21026,                   1,             0.21644,             0.18873,           0.0092606,           0.0091946,                   0,             0.00098,             0.00098,             0.00098
                  43,             0.01422,            0.012644,                   0,             0.21281,             0.98667,             0.21955,              0.1921,           0.0092824,           0.0099594,                   0,             0.00076,             0.00076,             0.00076
                  44,            0.014332,            0.011597,                   0,             0.21002,                   1,             0.22462,              0.1986,           0.0091497,           0.0096012,                   0,             0.00054,             0.00054,             0.00054
