               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087639,            0.038946,                   0,            0.022223,             0.35294,            0.077934,            0.032636,            0.055089,            0.025498,                   0,              0.0811,              0.0021,              0.0021
                   1,            0.081978,            0.034434,                   0,           0.0041026,             0.94118,            0.019014,            0.006337,             0.05037,            0.021615,                   0,            0.061215,           0.0042149,           0.0042149
                   2,            0.075748,            0.039989,                   0,           0.0041026,             0.94118,            0.023734,           0.0057581,            0.047816,             0.01981,                   0,            0.041243,           0.0062426,           0.0062426
                   3,            0.074171,            0.037002,                   0,           0.0075522,                   1,            0.041912,            0.014837,            0.041871,            0.017878,                   0,            0.021183,           0.0081832,           0.0081832
                   4,            0.071884,            0.038464,                   0,           0.0075522,                   1,            0.041912,            0.014837,            0.041871,            0.017878,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.065165,            0.035407,                   0,            0.054488,             0.76471,             0.11036,            0.035538,            0.038438,            0.016498,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.067418,             0.03603,                   0,            0.037952,             0.70588,             0.10894,            0.041102,            0.034858,            0.015031,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.060586,            0.035245,                   0,             0.49392,             0.51724,             0.44857,             0.15341,            0.035614,             0.01438,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.055952,            0.033659,                   0,             0.49392,             0.51724,             0.44857,             0.15341,            0.035614,             0.01438,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.052528,            0.033818,                   0,             0.69291,             0.39925,             0.48473,             0.18435,            0.033833,            0.013353,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.051777,            0.035605,                   0,             0.55371,             0.58824,              0.5238,              0.2101,             0.03449,            0.012597,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.053989,            0.031366,                   0,             0.55371,             0.58824,              0.5238,              0.2101,             0.03449,            0.012597,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.050829,            0.032299,                   0,             0.60651,             0.63523,             0.53742,             0.20674,            0.034659,            0.011841,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.050402,            0.029861,                   0,             0.49772,             0.58824,             0.47028,             0.15368,            0.029396,            0.012301,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.045507,            0.032157,                   0,             0.49772,             0.58824,             0.47028,             0.15368,            0.029396,            0.012301,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.043837,            0.029498,                   0,             0.59754,             0.52941,             0.47703,             0.14186,            0.029647,             0.01189,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.04477,            0.031848,                   0,             0.63609,             0.41176,             0.44395,             0.16713,            0.025427,            0.011604,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.039111,            0.028078,                   0,             0.63609,             0.41176,             0.44395,             0.16713,            0.025427,            0.011604,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.047937,            0.031651,                   0,              0.6985,             0.40911,             0.40971,              0.1696,            0.026027,            0.011265,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.038464,            0.030475,                   0,             0.50669,             0.41176,             0.41589,             0.15145,            0.025025,             0.01103,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.041054,            0.028087,                   0,             0.50669,             0.41176,             0.41589,             0.15145,            0.025025,             0.01103,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.044929,            0.030685,                   0,             0.64372,             0.41176,             0.42302,             0.15235,            0.026154,            0.010792,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.044815,            0.031079,                   0,             0.36194,             0.29412,             0.25746,             0.12895,            0.027235,            0.010641,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.040738,            0.029992,                   0,             0.56064,             0.41176,              0.4177,             0.14279,             0.02556,            0.010157,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.041832,            0.033339,                   0,             0.56064,             0.41176,              0.4177,             0.14279,             0.02556,            0.010157,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.045969,            0.029431,                   0,             0.46117,             0.41176,             0.43009,             0.16732,            0.026134,           0.0094007,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.044987,            0.030847,                   0,             0.46116,             0.47059,             0.47353,             0.18859,            0.025858,           0.0096272,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.044564,            0.030134,                   0,             0.46116,             0.47059,             0.47353,             0.18859,            0.025858,           0.0096272,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.034021,            0.030206,                   0,             0.38136,             0.41176,             0.38033,             0.21467,             0.02515,           0.0096392,                   0,            0.004654,            0.004654,            0.004654
                  29,             0.04466,            0.027222,                   0,             0.80793,             0.41176,             0.61208,             0.24746,            0.025237,           0.0092313,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.040984,            0.030484,                   0,             0.80793,             0.41176,             0.61208,             0.24746,            0.025237,           0.0092313,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.043416,            0.030825,                   0,             0.50805,             0.52941,              0.4435,             0.23288,            0.024474,           0.0090759,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.043919,            0.027936,                   0,             0.56012,             0.52461,             0.46591,             0.29101,             0.02383,           0.0090331,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.037231,             0.02726,                   0,             0.56012,             0.52461,             0.46591,             0.29101,             0.02383,           0.0090331,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.035624,            0.024106,                   0,             0.61144,             0.47059,             0.47059,             0.28533,            0.024398,           0.0087268,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.042164,            0.025773,                   0,             0.66415,              0.4657,             0.54875,             0.32024,            0.024562,           0.0086994,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.033875,             0.02725,                   0,             0.66415,              0.4657,             0.54875,             0.32024,            0.024562,           0.0086994,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.040228,            0.031408,                   0,             0.63869,             0.47059,              0.5449,              0.2873,             0.02524,           0.0085086,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.036216,            0.027188,                   0,             0.52896,             0.52941,             0.59576,             0.29395,            0.023884,           0.0085493,                   0,            0.002674,            0.002674,            0.002674
                  39,             0.04203,            0.028218,                   0,             0.63755,             0.47059,             0.52514,             0.32422,            0.022901,           0.0084982,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.040619,            0.030543,                   0,             0.63755,             0.47059,             0.52514,             0.32422,            0.022901,           0.0084982,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.040096,            0.027793,                   0,             0.64214,             0.47059,             0.49952,             0.29345,            0.023148,           0.0085419,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.03371,            0.026012,                   0,             0.60166,             0.52941,             0.60867,             0.29441,            0.023088,           0.0085736,                   0,            0.001882,            0.001882,            0.001882
