               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10311,            0.033081,                   0,           0.0016667,                 0.5,           0.0020038,          0.00040089,            0.072278,            0.029781,                   0,              0.0739,              0.0029,              0.0029
                   1,             0.07813,            0.031232,                   0,            0.064021,             0.85714,             0.18861,            0.033103,            0.069484,            0.023448,                   0,            0.046783,           0.0057832,           0.0057832
                   2,            0.077953,            0.030785,                   0,            0.016507,                   1,            0.040284,           0.0082203,            0.065039,            0.020822,                   0,            0.019548,           0.0085476,           0.0085476
                   3,            0.085666,            0.028422,                   0,            0.012988,             0.14286,            0.017568,           0.0032072,            0.069453,            0.017894,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.087667,            0.024813,                   0,            0.010685,             0.92857,            0.064549,            0.014117,            0.053543,             0.01923,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.077795,             0.02495,                   0,           0.0035787,                   1,            0.026897,           0.0098362,            0.075076,            0.012788,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.087234,            0.022771,                   0,           0.0037682,                   1,            0.036438,            0.016114,            0.051276,            0.015971,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.068732,            0.022178,                   0,             0.14383,             0.92857,             0.45728,             0.16819,            0.061501,            0.013371,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.071183,            0.023362,                   0,             0.14383,             0.92857,             0.45728,             0.16819,            0.061501,            0.013371,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.073928,            0.019448,                   0,             0.18276,             0.84674,             0.67745,             0.28648,            0.064715,            0.012047,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.07582,             0.02383,                   0,             0.23974,             0.92857,               0.702,             0.27855,            0.064081,            0.011722,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.065191,            0.018687,                   0,             0.19154,             0.85714,             0.70137,             0.35031,             0.05664,            0.012797,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.062117,            0.022978,                   0,             0.61322,             0.78571,             0.74048,             0.32439,            0.049323,            0.014183,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.058672,            0.022413,                   0,             0.49806,              0.2129,              0.5837,             0.22789,            0.044166,            0.014778,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.057506,            0.026155,                   0,              0.6621,             0.21429,             0.56584,             0.13786,            0.041827,            0.014768,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.055269,             0.02135,                   0,             0.50152,             0.28767,             0.67667,             0.32835,            0.045812,            0.013684,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.057114,            0.017167,                   0,             0.52017,             0.54322,             0.63994,             0.13154,            0.049303,            0.012789,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.056716,            0.020095,                   0,                   1,             0.41436,             0.77087,             0.21766,            0.040222,            0.013529,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.061718,            0.020457,                   0,             0.69999,             0.35714,             0.62373,             0.22948,            0.041232,            0.012985,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.058841,            0.017368,                   0,             0.55047,             0.57143,             0.66716,             0.23277,            0.038293,            0.012679,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.053942,            0.018676,                   0,             0.45691,             0.60189,             0.61939,             0.20387,            0.043196,            0.011594,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.057418,            0.017756,                   0,             0.59443,             0.73364,             0.70933,             0.36918,            0.030384,            0.013165,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.050009,            0.018596,                   0,             0.55891,             0.90577,              0.6555,             0.26538,            0.035273,            0.012404,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.054144,            0.017725,                   0,             0.63096,              0.7336,             0.73358,             0.35944,            0.032581,            0.012346,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.047531,            0.016468,                   0,             0.63096,              0.7336,             0.73358,             0.35944,            0.032581,            0.012346,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.048742,            0.015968,                   0,             0.60516,             0.76713,             0.74753,             0.31119,            0.036512,            0.011794,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.053923,             0.01723,                   0,             0.57213,             0.78571,             0.79293,             0.37384,            0.036669,            0.011697,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.047594,            0.016014,                   0,             0.63643,             0.78571,             0.87979,              0.4497,            0.034005,            0.011731,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.048232,            0.016349,                   0,             0.67437,             0.85714,             0.91333,             0.60095,            0.031043,            0.011791,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.046495,            0.018228,                   0,             0.78597,             0.78571,             0.93465,              0.6857,            0.028795,            0.011537,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.041454,            0.017348,                   0,              0.8756,                   1,             0.97633,              0.8093,            0.026679,            0.011526,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.042477,            0.019405,                   0,             0.80583,                   1,             0.97633,             0.64768,            0.025982,            0.011125,                   0,             0.00406,             0.00406,             0.00406
                  32,             0.03813,            0.016321,                   0,             0.66181,                   1,             0.93371,             0.55772,            0.026677,            0.010725,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.037429,            0.014827,                   0,             0.53699,              0.9943,               0.816,             0.42774,            0.030748,            0.010159,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.041309,            0.014035,                   0,             0.72096,                   1,             0.92953,             0.63652,            0.025402,            0.010217,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.037777,            0.015564,                   0,             0.53359,                   1,             0.75944,             0.46375,             0.02712,           0.0098473,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.041187,            0.013242,                   0,             0.65283,                   1,             0.83625,             0.56146,             0.02426,           0.0096526,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.039204,            0.013551,                   0,             0.82597,                   1,             0.93361,              0.6353,            0.024837,           0.0093293,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.038591,            0.013294,                   0,             0.83675,                   1,                0.94,             0.62814,            0.022388,           0.0092133,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.033552,             0.01353,                   0,             0.82305,                   1,              0.9325,             0.64186,            0.023291,           0.0089721,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.032378,            0.011059,                   0,             0.82305,                   1,              0.9325,             0.64186,            0.023291,           0.0089721,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.037615,            0.013717,                   0,             0.80856,                   1,              0.9325,             0.59294,            0.025449,           0.0087271,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.037744,            0.011999,                   0,             0.81525,                   1,             0.93361,             0.62099,            0.024843,           0.0085656,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.033008,            0.011839,                   0,             0.80909,                   1,             0.92531,             0.74296,            0.021772,           0.0085876,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.033678,            0.011571,                   0,             0.81414,                   1,              0.9325,             0.77976,            0.019839,           0.0086036,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.028349,            0.010754,                   0,             0.81357,                   1,              0.9325,             0.75758,            0.019181,           0.0085099,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.028929,            0.011048,                   0,             0.81457,                   1,             0.93361,             0.73529,            0.018538,           0.0084385,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.03045,            0.012308,                   0,             0.81935,                   1,             0.93361,             0.77525,            0.018505,           0.0083323,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.034267,            0.012787,                   0,             0.84714,                   1,             0.93361,             0.76993,            0.018599,           0.0082704,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.030199,            0.011578,                   0,             0.87456,              0.9962,             0.93361,             0.76801,             0.01871,             0.00823,                   0,            0.000496,            0.000496,            0.000496
