               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10311,            0.033081,                   0,           0.0016667,                 0.5,           0.0020038,          0.00040089,            0.072278,            0.029781,                   0,              0.0739,              0.0029,              0.0029
                   1,            0.078133,            0.031238,                   0,            0.046181,             0.78571,             0.16443,            0.025956,            0.069483,            0.023453,                   0,            0.046754,            0.005754,            0.005754
                   2,            0.077925,            0.030822,                   0,            0.014979,             0.93846,            0.056753,           0.0098711,            0.064638,            0.020976,                   0,            0.019459,           0.0084594,           0.0084594
                   3,            0.084844,            0.028581,                   0,            0.020933,             0.35714,             0.02664,           0.0070687,            0.066512,            0.018461,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.085232,            0.025356,                   0,           0.0052932,                   1,            0.095873,             0.02323,            0.053921,            0.018833,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.077205,            0.025179,                   0,           0.0060215,                   1,            0.035893,            0.012574,            0.069547,            0.013377,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.085632,            0.023313,                   0,            0.012602,             0.85714,            0.064508,            0.016914,            0.053574,            0.015561,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.072186,            0.021769,                   0,           0.0073034,                   1,            0.077913,            0.026181,            0.060121,            0.013184,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.068454,            0.023688,                   0,           0.0073034,                   1,            0.077913,            0.026181,            0.060121,            0.013184,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.073578,             0.01938,                   0,            0.026431,                   1,             0.15921,            0.039579,            0.064476,            0.011692,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.075252,            0.023093,                   0,            0.067569,                   1,             0.47818,             0.17286,            0.062221,            0.011495,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.060067,            0.019004,                   0,             0.23063,                   1,             0.82585,             0.24147,            0.050628,            0.012589,                   0,            0.007525,            0.007525,            0.007525
